3D model name[required],is_free(0=no;1=yes)[required],SKU[optional],Old Price(if in offer)[optional],actual price(if free=1 enter 0 here)[required],category name[required],sub category [required],youtube link[optional],vimeo link[optional],description[required],tags[required],"license(royalty_fee,editorial,custom)[required]",custom_license[optional](Enter if custom selected),featured_photo[required],product model file[required],other_images[optional]
AL1ZE-C1-AP01,0,,,5,ALPHABET,,,,"Beautiful Pendant Design
Smooth Finish
Accurate Designing
Highly Demanded","pendant, jewelry, necklace, jewellery, style, jewelrydesigner",royalty_free,,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP01\AL1ZE-C1-AP01.jpg,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP01\AL1ZE-C1-AP01-.stl&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP01\AL1ZE-C1-AP01.3dm,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP01\AL1ZE-C1-AP01-Details.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP01\AL1ZE-C1-AP01-B.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP01\AL1ZE-C1-AP01-C.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP01\AL1ZE-C1-AP01-D.jpg
AL1ZE-C1-AP02,0,,,5,ALPHABET,,,,"Beautiful Pendant Design
Smooth Finish
Accurate Designing
Highly Demanded","pendant, jewelry, necklace, jewellery, style, jewelrydesigner",royalty_free,,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP02\AL1ZE-C1-AP02-B.jpg,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP02\AL1ZE-C1-AP02.3dm&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP02\AL1ZE-C1-AP02.stl,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP02\AL1ZE-C1-AP02-C.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP02\AL1ZE-C1-AP02-D.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP02\AL1ZE-C1-AP02-Details.jpg
AL1ZE-C1-AP03,0,,,5,ALPHABET,,,,"Beautiful Pendant Design
Smooth Finish
Accurate Designing
Highly Demanded","pendant, jewelry, necklace, jewellery, style, jewelrydesigner",royalty_free,,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP03\AL1ZE-C1-AP03-B.jpg,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP03\AL1ZE-C1-AP03.3dm&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP03\AL1ZE-C1-AP03.stl,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP03\AL1ZE-C1-AP03-C.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP03\AL1ZE-C1-AP03-D.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP03\AL1ZE-C1-AP03-Details.jpg
AL1ZE-C1-AP04,0,,,5,ALPHABET,,,,"Beautiful Pendant Design
Smooth Finish
Accurate Designing
Highly Demanded","pendant, jewelry, necklace, jewellery, style, jewelrydesigner",royalty_free,,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP04\AL1ZE-C1-AP04-B.jpg,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP04\AL1ZE-C1-AP04.3dm&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP04\AL1ZE-C1-AP04.stl,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP04\AL1ZE-C1-AP04-C.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP04\AL1ZE-C1-AP04-D.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP04\AL1ZE-C1-AP04-Details.jpg
AL1ZE-C1-AP05,0,,,5,ALPHABET,,,,"Beautiful Pendant Design
Smooth Finish
Accurate Designing
Highly Demanded","pendant, jewelry, necklace, jewellery, style, jewelrydesigner",royalty_free,,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP05\AL1ZE-C1-AP05-B.jpg,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP05\AL1ZE-C1-AP05.3dm&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP05\AL1ZE-C1-AP05.stl,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP05\AL1ZE-C1-AP05-C.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP05\AL1ZE-C1-AP05-D.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP05\AL1ZE-C1-AP05-Details.jpg
AL1ZE-C1-AP06,0,,,5,ALPHABET,,,,"Beautiful Pendant Design
Smooth Finish
Accurate Designing
Highly Demanded","pendant, jewelry, necklace, jewellery, style, jewelrydesigner",royalty_free,,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP06\AL1ZE-C1-AP06-B.jpg,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP06\AL1ZE-C1-AP06.3dm&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP06\AL1ZE-C1-AP06.stl,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP06\AL1ZE-C1-AP06-C.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP06\AL1ZE-C1-AP06-D.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP06\AL1ZE-C1-AP06-Details.jpg
AL1ZE-C1-AP07,0,,,5,ALPHABET,,,,"Beautiful Pendant Design
Smooth Finish
Accurate Designing
Highly Demanded","pendant, jewelry, necklace, jewellery, style, jewelrydesigner",royalty_free,,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP07\AL1ZE-C1-AP07-B.jpg,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP07\AL1ZE-C1-AP07.3dm&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP07\AL1ZE-C1-AP07.stl,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP07\AL1ZE-C1-AP07-C.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP07\AL1ZE-C1-AP07-D.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP07\AL1ZE-C1-AP07-Details.jpg
AL1ZE-C1-AP08,0,,,5,ALPHABET,,,,"Beautiful Pendant Design
Smooth Finish
Accurate Designing
Highly Demanded","pendant, jewelry, necklace, jewellery, style, jewelrydesigner",royalty_free,,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP08\AL1ZE-C1-AP08-B.jpg,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP08\AL1ZE-C1-AP08.3dm&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP08\AL1ZE-C1-AP08.stl,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP08\AL1ZE-C1-AP08-C.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP08\AL1ZE-C1-AP08-D.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP08\AL1ZE-C1-AP08-Details.jpg
AL1ZE-C1-AP09,0,,,5,ALPHABET,,,,"Beautiful Pendant Design
Smooth Finish
Accurate Designing
Highly Demanded","pendant, jewelry, necklace, jewellery, style, jewelrydesigner",royalty_free,,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP09\AL1ZE-C1-AP09-B.jpg,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP09\AL1ZE-C1-AP09.3dm&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP09\AL1ZE-C1-AP09.stl,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP09\AL1ZE-C1-AP09-C.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP09\AL1ZE-C1-AP09-D.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP09\AL1ZE-C1-AP09-Details.jpg
AL1ZE-C1-AP010,0,,,5,ALPHABET,,,,"Beautiful Pendant Design
Smooth Finish
Accurate Designing
Highly Demanded","pendant, jewelry, necklace, jewellery, style, jewelrydesigner",royalty_free,,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP010\AL1ZE-C1-AP010-B.jpg,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP010\AL1ZE-C1-AP010.3dm&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP010\AL1ZE-C1-AP010.stl,\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP010\AL1ZE-C1-AP010-C.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP010\AL1ZE-C1-AP010-D.jpg&;\3d design model\1. Alphabet Pendant    k\AL1ZE-C1-AP010\AL1ZE-C1-AP010-Details.jpg
