3D model name[required],is_free(0=no;1=yes)[required],SKU[optional],Old Price(if in offer)[optional],actual price(if free=1 enter 0 here)[required],category name[required],sub category [required],youtube link[optional],vimeo link[optional],description[required],tags[required],"license(royalty_fee,editorial,custom)[required]",custom_license[optional](Enter if custom selected),featured_photo[required],product model file[required],other_images[optional],,,,,,,,,,
B 2,0,,,10,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 2\B 2.png,\3d design model\13. BRACCELET\B 2\B 2 FINAL.3dm&;\3d design model\13. BRACCELET\B 2\B 2.3dm&;\3d design model\13. BRACCELET\B 2\B 2.stl,\3d design model\13. BRACCELET\B 2\B 2.png,,,,,,,,,,
B 3,0,,,10,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 3\B 3.png,\3d design model\13. BRACCELET\B 3\B 3 (final.).3dm&;\3d design model\13. BRACCELET\B 3\B 3.3dm&;\3d design model\13. BRACCELET\B 3\B 3.stl,\3d design model\13. BRACCELET\B 3\B 3.png&;\3d design model\13. BRACCELET\B 3\B 3 rr.png,,,,,,,,,,
B 4,0,,,10,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 4\B 4.png,\3d design model\13. BRACCELET\B 4\B 4 (Final.).3dm&;\3d design model\13. BRACCELET\B 4\B 4.3dm&;\3d design model\13. BRACCELET\B 4\B 4.stl,\3d design model\13. BRACCELET\B 4\B 4.png,,,,,,,,,,
B 5,0,,,10,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 5\B 5.png,\3d design model\13. BRACCELET\B 5\B 5.3dm (Final.).3dm&;\3d design model\13. BRACCELET\B 5\B 5.3dm&;\3d design model\13. BRACCELET\B 5\B 5.stl,\3d design model\13. BRACCELET\B 5\B 5.png&;\3d design model\13. BRACCELET\B 5\B 5 RR.png,,,,,,,,,,
B 6,0,,,10,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 6\B 6.png,\3d design model\13. BRACCELET\B 6\B 6 (final).3dm&;\3d design model\13. BRACCELET\B 6\B 6.3dm&;\3d design model\13. BRACCELET\B 6\B 6.stl,\3d design model\13. BRACCELET\B 6\B 6.png&;\3d design model\13. BRACCELET\B 6\B 6 RR.png,,,,,,,,,,
B 7,0,,,10,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 7\B 7 (Revaies)\B 7 (Revaies).png,\3d design model\13. BRACCELET\B 7\B 7 (Revaies)\B 7 (Revaies).3dm&;\3d design model\13. BRACCELET\B 7\B 7 (Revaies)\B 7 (Revaies).stl,\3d design model\13. BRACCELET\B 7\B 7 (Revaies)\B 7 (Revaies).png,,,,,,,,,,
B 8,0,,,10,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 8\B 8.png,\3d design model\13. BRACCELET\B 8\B 8.3dm&;\3d design model\13. BRACCELET\B 8\B 8.stl,\3d design model\13. BRACCELET\B 8\B 8 RR.png&;\3d design model\13. BRACCELET\B 8\B 8.png,,,,,,,,,,
B 9,0,,,10,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 9\B 9.png,\3d design model\13. BRACCELET\B 9\B 9.3dm&;\3d design model\13. BRACCELET\B 9\B 9.stl,\3d design model\13. BRACCELET\B 9\B 9 RR.png&;\3d design model\13. BRACCELET\B 9\B 9.png,,,,,,,,,,
B 10,0,,,10,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 10\B 10.png,\3d design model\13. BRACCELET\B 10\B 10.3dm&;\3d design model\13. BRACCELET\B 10\B 10.stl,\3d design model\13. BRACCELET\B 10\B 10.png&;\3d design model\13. BRACCELET\B 10\B 10 rr.png,,,,,,,,,,
B 11,0,,,10,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 11\B 11.png,\3d design model\13. BRACCELET\B 11\B 11.3dm&;\3d design model\13. BRACCELET\B 11\B 11.stl,\3d design model\13. BRACCELET\B 11\B 11.png&;\3d design model\13. BRACCELET\B 11\B 11 rr.png,,,,,,,,,,
"B 12,13,14,15,16",0,,,45,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 12\B 12.png,\3d design model\13. BRACCELET\B 12\B 12.3dm&;\3d design model\13. BRACCELET\B 12\B 12.stl&;\3d design model\13. BRACCELET\B 13\B 13.3dm&;\3d design model\13. BRACCELET\B 13\B 13.stl&;\3d design model\13. BRACCELET\B 14\B 14(Revaies).3dm&;\3d design model\13. BRACCELET\B 14\B 14(Final).3dm&;\3d design model\13. BRACCELET\B 14\B 14.stl&;\3d design model\13. BRACCELET\B 15\B 15.3dm&;\3d design model\13. BRACCELET\B 15\B 15.stl&;\3d design model\13. BRACCELET\B 16\B 16.3dm&;\3d design model\13. BRACCELET\B 16\B 16.stl,\3d design model\13. BRACCELET\B 12\B 12.png&;\3d design model\13. BRACCELET\B 12\B 12 RR.png&;\3d design model\13. BRACCELET\B 13\B 13.png&;\3d design model\13. BRACCELET\B 13\B 13 rr.png&;\3d design model\13. BRACCELET\B 14\B 14(Revaies).png&;\3d design model\13. BRACCELET\B 14\B 14.png&;\3d design model\13. BRACCELET\B 15\B 15.png&;\3d design model\13. BRACCELET\B 15\B 15 RR.png&;\3d design model\13. BRACCELET\B 16\B 16.png&;\3d design model\13. BRACCELET\B 16\B 16 RR.png,,,,,,,,,,
"B 19,20,21,22,23",0,,,45,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 19\B 19.png,\3d design model\13. BRACCELET\B 19\B 19.3dm&;\3d design model\13. BRACCELET\B 19\B 19.stl&;\3d design model\13. BRACCELET\B 20\B 20.3dm&;\3d design model\13. BRACCELET\B 20\B 20.stl&;\3d design model\13. BRACCELET\B 21\B 21.3dm&;\3d design model\13. BRACCELET\B 21\B 21.stl&;\3d design model\13. BRACCELET\B 22\B 22.3dm&;\3d design model\13. BRACCELET\B 22\B 22.stl&;\3d design model\13. BRACCELET\B 23\B 23.3dm&;\3d design model\13. BRACCELET\B 23\B 23.stl,\3d design model\13. BRACCELET\B 19\B 19.png&;\3d design model\13. BRACCELET\B 19\B 19 rr.png&;\3d design model\13. BRACCELET\B 20\B 20.png&;\3d design model\13. BRACCELET\B 20\B 20 rr.png&;\3d design model\13. BRACCELET\B 21\B 21.png&;\3d design model\13. BRACCELET\B 21\B 21 rr.png&;\3d design model\13. BRACCELET\B 22\B 22.png&;\3d design model\13. BRACCELET\B 22\B 22 RR.png&;\3d design model\13. BRACCELET\B 23\B 23.png&;\3d design model\13. BRACCELET\B 23\B 23.jpg,,,,,,,,,,
"B 24,25,26,27",0,,,38,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\B 26\B 26.png,\3d design model\13. BRACCELET\B 24\B 24.3dm&;\3d design model\13. BRACCELET\B 24\B 24.stl&;\3d design model\13. BRACCELET\B 25\B 25.3dm&;\3d design model\13. BRACCELET\B 25\B 25.stl&;\3d design model\13. BRACCELET\B 26\B 26.3dm&;\3d design model\13. BRACCELET\B 26\B 26.stl&;\3d design model\13. BRACCELET\B 27 B\B 27.3dm&;\3d design model\13. BRACCELET\B 27 B\B 27 (Final).3dm&;\3d design model\13. BRACCELET\B 27 B\B 27.stl,\3d design model\13. BRACCELET\B 24\B 24.png&;\3d design model\13. BRACCELET\B 24\B 24 rr.png&;\3d design model\13. BRACCELET\B 25\B 25.jpg&;\3d design model\13. BRACCELET\B 25\B 25 rr.png&;\3d design model\13. BRACCELET\B 26\B 26.png&;\3d design model\13. BRACCELET\B 26\B 26 RR.png&;\3d design model\13. BRACCELET\B 27 B\B 27.png&;\3d design model\13. BRACCELET\B 27 B\B 27 RR.png,,,,,,,,,,
BR-1,0,,,10,BRACELETS,Bracelets,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\13. BRACCELET\BR-1\br-23.png,\3d design model\13. BRACCELET\BR-1\BR-1.3dm&;\3d design model\13. BRACCELET\BR-1\BR-1.stl,\3d design model\13. BRACCELET\BR-1\BR-23.1.png&;\3d design model\13. BRACCELET\BR-1\br-23.png,,,,,,,,,,
BGR_1,0,,,6,RING,Gents Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\GENTS RINGS\gents ring cad & pic=02\BGR_1.jpg,\3d design model\GENTS RINGS\gents ring cad & pic=02\BGR_1.jcd,\3d design model\GENTS RINGS\gents ring cad & pic=02\BGR_1.jpg,,,,,,,,,,
BGR_2,0,,,6,RING,Gents Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\GENTS RINGS\gents ring cad & pic=02\BGR_2.jpg,\3d design model\GENTS RINGS\gents ring cad & pic=02\BGR_2.jcd,\3d design model\GENTS RINGS\gents ring cad & pic=02\BGR_2.jpg,,,,,,,,,,
